identificador,tienda,marca,ram,procesador,almacenamiento,precio_raw,ram_gbs,categoria,id_registro_unico,marca_cat
Lenovo ThinkBook 16 Gen 9 (AMD Ryzen 7 250),SoloTodo,Lenovo,16 GB DDR5 (5600 MHz),Ryzen 7,SSD 512 GB,1059992.0,16,Gama Alta / Productividad,Lenovo_Gama Alta / Productividad_Lenovo ThinkBook 16 Gen 9 (AMD Ryzen 7 250),1
Notebook HP 14-dq2516la Intel Core i5 8 GB RAM 512 GB SSD,SoloTodo,Hp,8 GB,Intel Core i5,512 GB,350000.0,8,Gama Media / Estándar,Hp_Gama Media / Estándar_Notebook HP 14-dq2516la Intel Core i5 8 GB RAM 512 GB SSD,0
"Notebook HP 15-FD0273LA Intel Core i7 1355U 15.6"" 16GB 512GB SSD Windows 11 Home",SoloTodo,Hp,16GB,Intel Core i7,512GB,699990.0,16,Gama Alta / Productividad,"Hp_Gama Alta / Productividad_Notebook HP 15-FD0273LA Intel Core i7 1355U 15.6"" 16GB 512GB SSD Windows 11 Home",0
Acer Predator Helios Neo 16 AI PHN16-73-96XM-1,SoloTodo,Acer,32 GB DDR5 (6400 MHz),Intel Core Ultra 9 275HX (2100 MHz - 5400 MHz),SSD 2 TB,2699991.0,32,Otras Especificaciones,Acer_Otras Especificaciones_Acer Predator Helios Neo 16 AI PHN16-73-96XM-1,5
ASUS VivoBook 15 OLED X1505VA-MA942W,SoloTodo,Asus,8 GB DDR4 (3200 MHz),Intel Core i5-1335U (1300 MHz - 4600 MHz),SSD 512 GB,719990.0,8,Gama Media / Estándar,Asus_Gama Media / Estándar_ASUS VivoBook 15 OLED X1505VA-MA942W,2
Dell Inspiron 14 5440 (KCV5H / 16 GB RAM),SoloTodo,Dell,16 GB,Intel Core i5-1334U (900 MHz - 4600 MHz),SSD 512 GB,676190.0,16,Gama Media / Estándar,Dell_Gama Media / Estándar_Dell Inspiron 14 5440 (KCV5H / 16 GB RAM),3
Gigabyte Aero 16 XE4-73US918HP,SoloTodo,Gigabyte,16 GB DDR5 (4800 MHz),Intel Core i7-12700H (1700 MHz - 4700 MHz),SSD 2 TB,1149990.0,16,Gama Alta / Productividad,Gigabyte_Gama Alta / Productividad_Gigabyte Aero 16 XE4-73US918HP,17
Dell Alienware 16 Area-51,SoloTodo,Dell,32 GB DDR5 (6400 MHz),Intel Core Ultra 9 275HX (2100 MHz - 5400 MHz),SSD 1 TB,2999900.0,32,Otras Especificaciones,Dell_Otras Especificaciones_Dell Alienware 16 Area-51,3
"Notebook Lenovo IdeaPad Slim 5 Gen 10 - AMD Ryzen AI 7 350, 14"" OLED, 24GB RAM, 512GB SSD",SoloTodo,Lenovo,24GB,AMD Ryzen AI 7 350 (2000 MHz - 5000 MHz),512GB,849990.0,24,Otras Especificaciones,"Lenovo_Otras Especificaciones_Notebook Lenovo IdeaPad Slim 5 Gen 10 - AMD Ryzen AI 7 350, 14"" OLED, 24GB RAM, 512GB SSD",1
ASUS Zenbook A14 Copilot+ PC UX3407QA-QD318W,SoloTodo,Asus,16 GB LPDDR5X (8448 MHz),Qualcomm Snapdragon X X1-26-100 (2980 MHz),SSD 1 TB,1149990.0,16,Otras Especificaciones,Asus_Otras Especificaciones_ASUS Zenbook A14 Copilot+ PC UX3407QA-QD318W,2
