marca,tienda,precio,ram_gb,almacenamiento_gb,features,scaledFeatures,prediction
1,0,1059992.0,16,512.0,"[1059992.0,16.0,512.0]","[1.666752803908922,1.2730794066257018,1.411826743396237]",0
3,0,1095386.0,16,512.0,"[1095386.0,16.0,512.0]","[1.7224070435084213,1.2730794066257018,1.411826743396237]",0
0,0,789990.0,16,1024.0,"[789990.0,16.0,1024.0]","[1.2421962123865173,1.2730794066257018,2.823653486792474]",0
4,0,1249990.0,16,512.0,"[1249990.0,16.0,512.0]","[1.965509491918914,1.2730794066257018,1.411826743396237]",0
0,0,1078990.0,16,512.0,"[1078990.0,16.0,512.0]","[1.6966256423536101,1.2730794066257018,1.411826743396237]",0
2,0,619990.0,16,512.0,"[619990.0,16.0,512.0]","[0.97488478299411,1.2730794066257018,1.411826743396237]",0
0,0,719990.0,16,512.0,"[719990.0,16.0,512.0]","[1.1321268002837614,1.2730794066257018,1.411826743396237]",0
0,0,719990.0,16,512.0,"[719990.0,16.0,512.0]","[1.1321268002837614,1.2730794066257018,1.411826743396237]",0
1,0,3070770.0,32,1024.0,"[3070770.0,32.0,1024.0]","[4.828540694325429,2.5461588132514037,2.823653486792474]",1
0,0,679990.0,8,512.0,"[679990.0,8.0,512.0]","[1.0692299933679008,0.6365397033128509,1.411826743396237]",0
1,0,1369990.0,16,1024.0,"[1369990.0,16.0,1024.0]","[2.154199912666496,1.2730794066257018,2.823653486792474]",1
0,0,739990.0,16,512.0,"[739990.0,16.0,512.0]","[1.1635752037416918,1.2730794066257018,1.411826743396237]",0
1,0,1299992.0,16,512.0,"[1299992.0,16.0,512.0]","[2.0441336454040857,1.2730794066257018,1.411826743396237]",0
0,0,2099990.0,32,512.0,"[2099990.0,32.0,512.0]","[3.302066638880951,2.5461588132514037,1.411826743396237]",1
0,0,350000.0,8,512.0,"[350000.0,8.0,512.0]","[0.55034706051378,0.6365397033128509,1.411826743396237]",0
0,0,699990.0,16,512.0,"[699990.0,16.0,512.0]","[1.1006783968258311,1.2730794066257018,1.411826743396237]",0
5,0,2699991.0,32,2048.0,"[2699991.0,32.0,2048.0]","[4.245520315039033,2.5461588132514037,5.647306973584948]",1
1,0,521980.0,8,512.0,"[521980.0,8.0,512.0]","[0.8207718818485226,0.6365397033128509,1.411826743396237]",0
3,0,1324990.0,16,512.0,"[1324990.0,16.0,512.0]","[2.0834410048861525,1.2730794066257018,1.411826743396237]",0
30,0,369990.0,8,512.0,"[369990.0,8.0,512.0]","[0.5817797397699813,0.6365397033128509,1.411826743396237]",0
2,0,446990.0,8,512.0,"[446990.0,8.0,512.0]","[0.702856093083013,0.6365397033128509,1.411826743396237]",0
2,0,719990.0,8,512.0,"[719990.0,8.0,512.0]","[1.1321268002837614,0.6365397033128509,1.411826743396237]",0
3,0,869390.0,16,1024.0,"[869390.0,16.0,1024.0]","[1.3670463741145007,1.2730794066257018,2.823653486792474]",0
3,0,676190.0,16,512.0,"[676190.0,16.0,512.0]","[1.063254796710894,1.2730794066257018,1.411826743396237]",0
0,0,1099990.0,16,1024.0,"[1099990.0,16.0,1024.0]","[1.7296464659844368,1.2730794066257018,2.823653486792474]",0
